Country,Date,Year,MEASURE_PSE,PSE Value,MEASURE_GSSE,GSSE Value
Canada,2023,2023-01-01,BPICSH,2.8452,GSSEJDSH,0.0
Canada,2023,2023-01-01,BPICSH,2.8452,GSSEJCSH,2.1532
Canada,2023,2023-01-01,BPICSH,2.8452,GSSEJBSH,8.8133
Canada,2023,2023-01-01,BPICSH,2.8452,GSSEHASH,22.3547
Canada,2023,2023-01-01,BPICSH,2.8452,GSSELSH,0.0
Canada,2023,2023-01-01,BPICSH,2.8452,GSSEISH,38.6016
Canada,2023,2023-01-01,BPICSH,2.8452,GSSEIASH,35.9226
Canada,2023,2023-01-01,BPICSH,2.8452,GSSEKASH,4.7048
Canada,2023,2023-01-01,BPICSH,2.8452,GSSEHSH,36.3626
Canada,2023,2023-01-01,BPICSH,2.8452,GSSEMSH,4.1931
Canada,2023,2023-01-01,BPICSH,2.8452,GSSEJASH,3.4752
Canada,2023,2023-01-01,BPICSH,2.8452,GSSEIBSH,2.679
Canada,2023,2023-01-01,BPICSH,2.8452,GSSEJSH,14.4417
Canada,2023,2023-01-01,BPICSH,2.8452,GSSEKSH,6.401
Canada,2023,2023-01-01,BPICSH,2.8452,GSSEKBSH,1.6962
Canada,2023,2023-01-01,BPICSH,2.8452,GSSEHBSH,14.008
Canada,2023,2023-01-01,BPICSH,2.8452,GSSEICSH,0.0
Canada,2014,2014-01-01,BPICSH,0.0245,GSSEJDSH,0.0
Canada,2014,2014-01-01,BPICSH,0.0245,GSSELSH,0.0
Canada,2014,2014-01-01,BPICSH,0.0245,GSSEKASH,5.9082
Canada,2014,2014-01-01,BPICSH,0.0245,GSSEJSH,8.228
Canada,2014,2014-01-01,BPICSH,0.0245,GSSEICSH,0.0231
Canada,2014,2014-01-01,BPICSH,0.0245,GSSEJCSH,1.3295
Canada,2014,2014-01-01,BPICSH,0.0245,GSSEJBSH,4.588
Canada,2014,2014-01-01,BPICSH,0.0245,GSSEHASH,22.7471
Canada,2014,2014-01-01,BPICSH,0.0245,GSSEISH,44.5215
Canada,2014,2014-01-01,BPICSH,0.0245,GSSEIASH,41.0866
Canada,2014,2014-01-01,BPICSH,0.0245,GSSEHSH,37.5847
Canada,2014,2014-01-01,BPICSH,0.0245,GSSEMSH,0.8442
Canada,2014,2014-01-01,BPICSH,0.0245,GSSEJASH,2.3104
Canada,2014,2014-01-01,BPICSH,0.0245,GSSEIBSH,3.4118
Canada,2014,2014-01-01,BPICSH,0.0245,GSSEKSH,8.8216
Canada,2014,2014-01-01,BPICSH,0.0245,GSSEKBSH,2.9134
Canada,2014,2014-01-01,BPICSH,0.0245,GSSEHBSH,14.8377
Canada,2015,2015-01-01,BPICSH,0.0073,GSSEJDSH,0.0
Canada,2015,2015-01-01,BPICSH,0.0073,GSSEJCSH,1.7834
Canada,2015,2015-01-01,BPICSH,0.0073,GSSEJBSH,5.262
Canada,2015,2015-01-01,BPICSH,0.0073,GSSEHASH,25.7033
Canada,2015,2015-01-01,BPICSH,0.0073,GSSELSH,0.0
Canada,2015,2015-01-01,BPICSH,0.0073,GSSEISH,41.3991
Canada,2015,2015-01-01,BPICSH,0.0073,GSSEIASH,38.2496
Canada,2015,2015-01-01,BPICSH,0.0073,GSSEHSH,40.2704
Canada,2015,2015-01-01,BPICSH,0.0073,GSSEMSH,1.2453
Canada,2015,2015-01-01,BPICSH,0.0073,GSSEJASH,1.7406
Canada,2015,2015-01-01,BPICSH,0.0073,GSSEIBSH,3.1257
Canada,2015,2015-01-01,BPICSH,0.0073,GSSEJSH,8.7859
Canada,2015,2015-01-01,BPICSH,0.0073,GSSEKSH,8.2992
Canada,2015,2015-01-01,BPICSH,0.0073,GSSEKBSH,2.5501
Canada,2015,2015-01-01,BPICSH,0.0073,GSSEHBSH,14.5671
Canada,2015,2015-01-01,BPICSH,0.0073,GSSEKASH,5.7491
Canada,2015,2015-01-01,BPICSH,0.0073,GSSEICSH,0.0238
Canada,2016,2016-01-01,BPICSH,0.0,GSSEJCSH,1.7832
Canada,2016,2016-01-01,BPICSH,0.0,GSSEJBSH,4.4679
Canada,2016,2016-01-01,BPICSH,0.0,GSSEHASH,23.431
Canada,2016,2016-01-01,BPICSH,0.0,GSSEISH,41.6782
Canada,2016,2016-01-01,BPICSH,0.0,GSSEIASH,38.2179
Canada,2016,2016-01-01,BPICSH,0.0,GSSEKASH,6.0728
Canada,2016,2016-01-01,BPICSH,0.0,GSSEHSH,38.5535
Canada,2016,2016-01-01,BPICSH,0.0,GSSEMSH,1.0267
Canada,2016,2016-01-01,BPICSH,0.0,GSSEJASH,3.3014
Canada,2016,2016-01-01,BPICSH,0.0,GSSEIBSH,3.4345
Canada,2016,2016-01-01,BPICSH,0.0,GSSEJSH,9.5525
Canada,2016,2016-01-01,BPICSH,0.0,GSSEKSH,9.1891
Canada,2016,2016-01-01,BPICSH,0.0,GSSEKBSH,3.1163
Canada,2016,2016-01-01,BPICSH,0.0,GSSEHBSH,15.1225
Canada,2016,2016-01-01,BPICSH,0.0,GSSEICSH,0.0258
Canada,2016,2016-01-01,BPICSH,0.0,GSSEJDSH,0.0
Canada,2016,2016-01-01,BPICSH,0.0,GSSELSH,0.0
Canada,2017,2017-01-01,BPICSH,0.0,GSSEJDSH,0.0
Canada,2017,2017-01-01,BPICSH,0.0,GSSEJCSH,1.7191
Canada,2017,2017-01-01,BPICSH,0.0,GSSEJBSH,4.0297
Canada,2017,2017-01-01,BPICSH,0.0,GSSEHASH,23.8406
Canada,2017,2017-01-01,BPICSH,0.0,GSSELSH,0.0
Canada,2017,2017-01-01,BPICSH,0.0,GSSEISH,41.2056
Canada,2017,2017-01-01,BPICSH,0.0,GSSEIASH,38.0704
Canada,2017,2017-01-01,BPICSH,0.0,GSSEKASH,5.7583
Canada,2017,2017-01-01,BPICSH,0.0,GSSEHSH,38.1608
Canada,2017,2017-01-01,BPICSH,0.0,GSSEMSH,1.5496
Canada,2017,2017-01-01,BPICSH,0.0,GSSEJASH,2.7822
Canada,2017,2017-01-01,BPICSH,0.0,GSSEIBSH,3.1159
Canada,2017,2017-01-01,BPICSH,0.0,GSSEJSH,8.5309
Canada,2017,2017-01-01,BPICSH,0.0,GSSEKSH,10.553
Canada,2017,2017-01-01,BPICSH,0.0,GSSEKBSH,4.7947
Canada,2017,2017-01-01,BPICSH,0.0,GSSEHBSH,14.3202
Canada,2017,2017-01-01,BPICSH,0.0,GSSEICSH,0.0194
Canada,2018,2018-01-01,BPICSH,0.0029,GSSEJDSH,0.0
Canada,2018,2018-01-01,BPICSH,0.0029,GSSEJCSH,1.3708
Canada,2018,2018-01-01,BPICSH,0.0029,GSSEJBSH,4.6482
Canada,2018,2018-01-01,BPICSH,0.0029,GSSEHASH,26.7924
Canada,2018,2018-01-01,BPICSH,0.0029,GSSELSH,0.0
Canada,2018,2018-01-01,BPICSH,0.0029,GSSEISH,44.7207
Canada,2018,2018-01-01,BPICSH,0.0029,GSSEIASH,42.4587
Canada,2018,2018-01-01,BPICSH,0.0029,GSSEKASH,6.5522
Canada,2018,2018-01-01,BPICSH,0.0029,GSSEHSH,37.053
Canada,2018,2018-01-01,BPICSH,0.0029,GSSEMSH,1.5099
Canada,2018,2018-01-01,BPICSH,0.0029,GSSEJASH,1.7287
Canada,2018,2018-01-01,BPICSH,0.0029,GSSEIBSH,2.2481
Canada,2018,2018-01-01,BPICSH,0.0029,GSSEJSH,7.7477
Canada,2018,2018-01-01,BPICSH,0.0029,GSSEKSH,8.9687
Canada,2018,2018-01-01,BPICSH,0.0029,GSSEKBSH,2.4165
Canada,2018,2018-01-01,BPICSH,0.0029,GSSEHBSH,10.2606
Canada,2018,2018-01-01,BPICSH,0.0029,GSSEICSH,0.0139
Canada,2019,2019-01-01,BPICSH,0.0085,GSSEJDSH,0.0
Canada,2019,2019-01-01,BPICSH,0.0085,GSSEJCSH,1.4289
Canada,2019,2019-01-01,BPICSH,0.0085,GSSEJBSH,5.5888
Canada,2019,2019-01-01,BPICSH,0.0085,GSSEHASH,26.9482
Canada,2019,2019-01-01,BPICSH,0.0085,GSSELSH,0.0
Canada,2019,2019-01-01,BPICSH,0.0085,GSSEISH,44.2996
Canada,2019,2019-01-01,BPICSH,0.0085,GSSEIASH,41.8636
Canada,2019,2019-01-01,BPICSH,0.0085,GSSEKASH,6.7679
Canada,2019,2019-01-01,BPICSH,0.0085,GSSEHSH,36.7059
Canada,2019,2019-01-01,BPICSH,0.0085,GSSEMSH,2.7338
Canada,2019,2019-01-01,BPICSH,0.0085,GSSEJASH,1.4478
Canada,2019,2019-01-01,BPICSH,0.0085,GSSEIBSH,2.436
Canada,2019,2019-01-01,BPICSH,0.0085,GSSEJSH,8.4655
Canada,2019,2019-01-01,BPICSH,0.0085,GSSEKSH,7.7951
Canada,2019,2019-01-01,BPICSH,0.0085,GSSEKBSH,1.0272
Canada,2019,2019-01-01,BPICSH,0.0085,GSSEHBSH,9.7577
Canada,2019,2019-01-01,BPICSH,0.0085,GSSEICSH,0.0
Canada,2020,2020-01-01,BPICSH,0.0567,GSSEJDSH,0.0
Canada,2020,2020-01-01,BPICSH,0.0567,GSSEJCSH,2.1466
Canada,2020,2020-01-01,BPICSH,0.0567,GSSEJBSH,6.4512
Canada,2020,2020-01-01,BPICSH,0.0567,GSSEHASH,25.4106
Canada,2020,2020-01-01,BPICSH,0.0567,GSSELSH,0.0
Canada,2020,2020-01-01,BPICSH,0.0567,GSSEISH,42.722
Canada,2020,2020-01-01,BPICSH,0.0567,GSSEIASH,40.3739
Canada,2020,2020-01-01,BPICSH,0.0567,GSSEKASH,5.7583
Canada,2020,2020-01-01,BPICSH,0.0567,GSSEHSH,36.9711
Canada,2020,2020-01-01,BPICSH,0.0567,GSSEMSH,3.5251
Canada,2020,2020-01-01,BPICSH,0.0567,GSSEJASH,1.2661
Canada,2020,2020-01-01,BPICSH,0.0567,GSSEIBSH,2.348
Canada,2020,2020-01-01,BPICSH,0.0567,GSSEJSH,9.864
Canada,2020,2020-01-01,BPICSH,0.0567,GSSEKSH,6.9179
Canada,2020,2020-01-01,BPICSH,0.0567,GSSEKBSH,1.1596
Canada,2020,2020-01-01,BPICSH,0.0567,GSSEHBSH,11.5605
Canada,2020,2020-01-01,BPICSH,0.0567,GSSEICSH,0.0
