Country,Date,MEASURE,GSSE Value
New Zealand,2023,GSSEJSH,3.5391
New Zealand,2022,GSSEJSH,6.7225
New Zealand,2021,GSSEJSH,6.1703
New Zealand,2020,GSSEJSH,5.9381
New Zealand,2019,GSSEJSH,5.6881
New Zealand,2018,GSSEJSH,12.4671
New Zealand,2017,GSSEJSH,15.7823
New Zealand,2016,GSSEJSH,14.863
New Zealand,2015,GSSEJSH,17.2294
Canada,2015,GSSEJDSH,0.0
Canada,2014,GSSEJDSH,0.0
Canada,2023,GSSEJDSH,0.0
Canada,2022,GSSEJDSH,0.0
Canada,2021,GSSEJDSH,0.0
Canada,2020,GSSEJDSH,0.0
Canada,2019,GSSEJDSH,0.0
Canada,2018,GSSEJDSH,0.0
Canada,2017,GSSEJDSH,0.0
Japan,2023,GSSEKSH,2.2304
Japan,2022,GSSEKSH,10.6851
Japan,2021,GSSEKSH,6.9333
Japan,2020,GSSEKSH,6.7837
Japan,2019,GSSEKSH,0.8458
Japan,2018,GSSEKSH,1.4606
Japan,2017,GSSEKSH,1.0366
Japan,2016,GSSEKSH,1.1331
Japan,2015,GSSEKSH,0.9105
Australia,2023,GSSEHSH,62.6852
Australia,2022,GSSEHSH,62.6009
Australia,2021,GSSEHSH,50.6467
Australia,2020,GSSEHSH,49.0599
Australia,2019,GSSEHSH,68.9716
Australia,2018,GSSEHSH,54.9582
Australia,2017,GSSEHSH,45.5474
Australia,2016,GSSEHSH,47.3452
Australia,2015,GSSEHSH,60.6339
New Zealand,2014,GSSEJASH,11.6794
New Zealand,2023,GSSEJASH,1.0301
New Zealand,2022,GSSEJASH,1.7847
New Zealand,2021,GSSEJASH,1.8915
New Zealand,2020,GSSEJASH,1.641
New Zealand,2019,GSSEJASH,2.317
New Zealand,2018,GSSEJASH,5.9273
New Zealand,2017,GSSEJASH,9.4098
New Zealand,2016,GSSEJASH,8.1091
Australia,2023,GSSEIBSH,8.5779
Australia,2022,GSSEIBSH,8.5449
Australia,2021,GSSEIBSH,7.7506
Australia,2020,GSSEIBSH,7.4926
Australia,2019,GSSEIBSH,8.7256
Australia,2018,GSSEIBSH,6.22
Australia,2017,GSSEIBSH,8.3783
Australia,2016,GSSEIBSH,10.4635
Australia,2015,GSSEIBSH,10.1605
Canada,2023,GSSEJCSH,2.1532
Canada,2022,GSSEJCSH,1.587
Canada,2021,GSSEJCSH,2.1513
Canada,2020,GSSEJCSH,2.1466
Canada,2019,GSSEJCSH,1.4289
Canada,2018,GSSEJCSH,1.3708
Canada,2017,GSSEJCSH,1.7191
Canada,2016,GSSEJCSH,1.7832
Canada,2015,GSSEJCSH,1.7834
New Zealand,2015,GSSEMSH,0.0
New Zealand,2014,GSSEMSH,0.0
New Zealand,2023,GSSEMSH,0.0
New Zealand,2022,GSSEMSH,0.0
New Zealand,2021,GSSEMSH,0.0
New Zealand,2020,GSSEMSH,0.0
New Zealand,2019,GSSEMSH,0.0
New Zealand,2018,GSSEMSH,0.0
New Zealand,2017,GSSEMSH,0.0
Japan,2023,GSSEJDSH,4.3216
Japan,2022,GSSEJDSH,3.8721
Japan,2021,GSSEJDSH,2.1047
Japan,2020,GSSEJDSH,1.4104
Japan,2019,GSSEJDSH,1.4015
Japan,2018,GSSEJDSH,2.6416
Japan,2017,GSSEJDSH,2.5314
Japan,2016,GSSEJDSH,2.781
Japan,2015,GSSEJDSH,7.5255
Australia,2015,GSSEICSH,0.0
Australia,2014,GSSEICSH,0.0
Australia,2023,GSSEICSH,0.0
Australia,2022,GSSEICSH,0.0
Australia,2021,GSSEICSH,0.0
Australia,2020,GSSEICSH,0.0
Australia,2019,GSSEICSH,0.0
Australia,2018,GSSEICSH,0.0
Australia,2017,GSSEICSH,0.0
