DATAFLOW,REF_AREA,FREQ,MEASURE,COMMODITY,UNIT_MEASURE,TIME_PERIOD,OBS_VALUE,DECIMALS,OBS_STATUS,CURRENCY,UNIT_MULT
OECD.TAD.ARP:DSD_AGR_POLIND@DF_COMGSSE(1.1),ISR,A,GSSEIBSH,CPC_EX_TO,PT_SUPP_E_GN_SRV,2023,8.5213,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_COMGSSE(1.1),ISR,A,GSSEIBSH,CPC_EX_TO,PT_SUPP_E_GN_SRV,2022,9.9586,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_COMGSSE(1.1),ISR,A,GSSEIBSH,CPC_EX_TO,PT_SUPP_E_GN_SRV,2021,7.1212,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_COMGSSE(1.1),ISR,A,GSSEIBSH,CPC_EX_TO,PT_SUPP_E_GN_SRV,2020,7.7754,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_COMGSSE(1.1),ISR,A,GSSEIBSH,CPC_EX_TO,PT_SUPP_E_GN_SRV,2019,8.108,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_COMGSSE(1.1),ISR,A,GSSEIBSH,CPC_EX_TO,PT_SUPP_E_GN_SRV,2018,8.5058,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_COMGSSE(1.1),ISR,A,GSSEIBSH,CPC_EX_TO,PT_SUPP_E_GN_SRV,2017,12.4646,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_COMGSSE(1.1),ISR,A,GSSEIBSH,CPC_EX_TO,PT_SUPP_E_GN_SRV,2016,7.7983,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_COMGSSE(1.1),ISR,A,GSSEIBSH,CPC_EX_TO,PT_SUPP_E_GN_SRV,2015,10.6864,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_COMGSSE(1.1),NOR,A,GSSEHSH,CPC_EX_TO,PT_SUPP_E_GN_SRV,2023,63.1674,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_COMGSSE(1.1),NOR,A,GSSEHSH,CPC_EX_TO,PT_SUPP_E_GN_SRV,2022,62.9265,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_COMGSSE(1.1),NOR,A,GSSEHSH,CPC_EX_TO,PT_SUPP_E_GN_SRV,2021,63.8601,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_COMGSSE(1.1),NOR,A,GSSEHSH,CPC_EX_TO,PT_SUPP_E_GN_SRV,2020,65.3465,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_COMGSSE(1.1),NOR,A,GSSEHSH,CPC_EX_TO,PT_SUPP_E_GN_SRV,2019,65.4987,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_COMGSSE(1.1),NOR,A,GSSEHSH,CPC_EX_TO,PT_SUPP_E_GN_SRV,2018,64.314,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_COMGSSE(1.1),NOR,A,GSSEHSH,CPC_EX_TO,PT_SUPP_E_GN_SRV,2017,63.8266,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_COMGSSE(1.1),NOR,A,GSSEHSH,CPC_EX_TO,PT_SUPP_E_GN_SRV,2016,60.4097,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_COMGSSE(1.1),NOR,A,GSSEHSH,CPC_EX_TO,PT_SUPP_E_GN_SRV,2015,57.92,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_COMGSSE(1.1),GBR,A,GSSEJBSH,CPC_EX_TO,PT_SUPP_E_GN_SRV,2014,,2,N,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_COMGSSE(1.1),GBR,A,GSSEJBSH,CPC_EX_TO,PT_SUPP_E_GN_SRV,2023,0.0118,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_COMGSSE(1.1),GBR,A,GSSEJBSH,CPC_EX_TO,PT_SUPP_E_GN_SRV,2022,0.016,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_COMGSSE(1.1),GBR,A,GSSEJBSH,CPC_EX_TO,PT_SUPP_E_GN_SRV,2021,0.0917,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_COMGSSE(1.1),GBR,A,GSSEJBSH,CPC_EX_TO,PT_SUPP_E_GN_SRV,2020,0.0956,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_COMGSSE(1.1),GBR,A,GSSEJBSH,CPC_EX_TO,PT_SUPP_E_GN_SRV,2019,0.1664,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_COMGSSE(1.1),GBR,A,GSSEJBSH,CPC_EX_TO,PT_SUPP_E_GN_SRV,2018,0.0414,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_COMGSSE(1.1),GBR,A,GSSEJBSH,CPC_EX_TO,PT_SUPP_E_GN_SRV,2017,0.0,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_COMGSSE(1.1),GBR,A,GSSEJBSH,CPC_EX_TO,PT_SUPP_E_GN_SRV,2016,,2,N,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_COMGSSE(1.1),EU,A,GSSEMSH,CPC_EX_TO,PT_SUPP_E_GN_SRV,2023,0.1961,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_COMGSSE(1.1),EU,A,GSSEMSH,CPC_EX_TO,PT_SUPP_E_GN_SRV,2022,0.1583,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_COMGSSE(1.1),EU,A,GSSEMSH,CPC_EX_TO,PT_SUPP_E_GN_SRV,2021,0.1564,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_COMGSSE(1.1),EU,A,GSSEMSH,CPC_EX_TO,PT_SUPP_E_GN_SRV,2020,0.1084,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_COMGSSE(1.1),EU,A,GSSEMSH,CPC_EX_TO,PT_SUPP_E_GN_SRV,2019,0.1185,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_COMGSSE(1.1),EU,A,GSSEMSH,CPC_EX_TO,PT_SUPP_E_GN_SRV,2018,0.1288,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_COMGSSE(1.1),EU,A,GSSEMSH,CPC_EX_TO,PT_SUPP_E_GN_SRV,2017,0.1369,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_COMGSSE(1.1),EU,A,GSSEMSH,CPC_EX_TO,PT_SUPP_E_GN_SRV,2016,0.1509,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_COMGSSE(1.1),EU,A,GSSEMSH,CPC_EX_TO,PT_SUPP_E_GN_SRV,2015,0.1286,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_COMGSSE(1.1),OECD,A,GSSEISH,CPC_EX_TO,PT_SUPP_E_GN_SRV,2023,10.0228,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_COMGSSE(1.1),OECD,A,GSSEISH,CPC_EX_TO,PT_SUPP_E_GN_SRV,2022,10.1298,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_COMGSSE(1.1),OECD,A,GSSEISH,CPC_EX_TO,PT_SUPP_E_GN_SRV,2021,9.4996,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_COMGSSE(1.1),OECD,A,GSSEISH,CPC_EX_TO,PT_SUPP_E_GN_SRV,2020,9.0739,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_COMGSSE(1.1),OECD,A,GSSEISH,CPC_EX_TO,PT_SUPP_E_GN_SRV,2019,9.3755,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_COMGSSE(1.1),OECD,A,GSSEISH,CPC_EX_TO,PT_SUPP_E_GN_SRV,2018,9.7618,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_COMGSSE(1.1),OECD,A,GSSEISH,CPC_EX_TO,PT_SUPP_E_GN_SRV,2017,9.0588,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_COMGSSE(1.1),OECD,A,GSSEISH,CPC_EX_TO,PT_SUPP_E_GN_SRV,2016,9.3157,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_COMGSSE(1.1),OECD,A,GSSEISH,CPC_EX_TO,PT_SUPP_E_GN_SRV,2015,8.8595,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_COMGSSE(1.1),NZL,A,GSSEJSH,CPC_EX_TO,PT_SUPP_E_GN_SRV,2023,3.5391,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_COMGSSE(1.1),NZL,A,GSSEJSH,CPC_EX_TO,PT_SUPP_E_GN_SRV,2022,6.7225,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_COMGSSE(1.1),NZL,A,GSSEJSH,CPC_EX_TO,PT_SUPP_E_GN_SRV,2021,6.1703,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_COMGSSE(1.1),NZL,A,GSSEJSH,CPC_EX_TO,PT_SUPP_E_GN_SRV,2020,5.9381,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_COMGSSE(1.1),NZL,A,GSSEJSH,CPC_EX_TO,PT_SUPP_E_GN_SRV,2019,5.6881,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_COMGSSE(1.1),NZL,A,GSSEJSH,CPC_EX_TO,PT_SUPP_E_GN_SRV,2018,12.4671,2,,,
