DATAFLOW,REF_AREA,FREQ,MEASURE,COMMODITY,UNIT_MEASURE,TIME_PERIOD,OBS_VALUE,DECIMALS,OBS_STATUS,CURRENCY,UNIT_MULT
OECD.TAD.ARP:DSD_AGR_POLIND@DF_POL(1.1),OECD,A,BP_OPWLSH,CPC_EX_TO,PT_SUPP_E_PRDC,2023,28.5898,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_POL(1.1),OECD,A,BP_OPWLSH,CPC_EX_TO,PT_SUPP_E_PRDC,2014,38.287,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_POL(1.1),OECD,A,BP_OPWLSH,CPC_EX_TO,PT_SUPP_E_PRDC,2015,36.9829,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_POL(1.1),OECD,A,BP_OPWLSH,CPC_EX_TO,PT_SUPP_E_PRDC,2016,35.4675,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_POL(1.1),OECD,A,BP_OPWLSH,CPC_EX_TO,PT_SUPP_E_PRDC,2017,32.6324,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_POL(1.1),OECD,A,BP_OPWLSH,CPC_EX_TO,PT_SUPP_E_PRDC,2018,36.0462,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_POL(1.1),OECD,A,BP_OPWLSH,CPC_EX_TO,PT_SUPP_E_PRDC,2019,36.5365,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_POL(1.1),OECD,A,BP_OPWLSH,CPC_EX_TO,PT_SUPP_E_PRDC,2020,36.4954,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_POL(1.1),OECD,A,BP_OPWLSH,CPC_EX_TO,PT_SUPP_E_PRDC,2021,39.7866,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_POL(1.1),OECD,A,BP_OPWLSH,CPC_EX_TO,PT_SUPP_E_PRDC,2022,36.9342,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_POL(1.1),EU,A,BPICSH,CPC_EX_TO,PT_SUPP_E_PRDC,2023,52.1235,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_POL(1.1),EU,A,BPICSH,CPC_EX_TO,PT_SUPP_E_PRDC,2014,64.5141,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_POL(1.1),EU,A,BPICSH,CPC_EX_TO,PT_SUPP_E_PRDC,2015,62.4605,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_POL(1.1),EU,A,BPICSH,CPC_EX_TO,PT_SUPP_E_PRDC,2016,64.549,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_POL(1.1),EU,A,BPICSH,CPC_EX_TO,PT_SUPP_E_PRDC,2017,64.5189,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_POL(1.1),EU,A,BPICSH,CPC_EX_TO,PT_SUPP_E_PRDC,2018,60.6208,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_POL(1.1),EU,A,BPICSH,CPC_EX_TO,PT_SUPP_E_PRDC,2019,60.7055,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_POL(1.1),EU,A,BPICSH,CPC_EX_TO,PT_SUPP_E_PRDC,2020,62.4203,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_POL(1.1),EU,A,BPICSH,CPC_EX_TO,PT_SUPP_E_PRDC,2021,64.2561,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_POL(1.1),EU,A,BPICSH,CPC_EX_TO,PT_SUPP_E_PRDC,2022,59.4436,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_POL(1.1),KAZ,A,BP_OPWLSH,CPC_EX_TO,PT_SUPP_E_PRDC,2014,0.0,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_POL(1.1),KAZ,A,BP_OPWLSH,CPC_EX_TO,PT_SUPP_E_PRDC,2015,0.0,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_POL(1.1),KAZ,A,BP_OPWLSH,CPC_EX_TO,PT_SUPP_E_PRDC,2016,0.0,2,,,
OECD.TAD.ARP:DSD_AGR_POLIND@DF_POL(1.1),KAZ,A,BP_OPWLSH,CPC_EX_TO,PT_SUPP_E_PRDC,2017,0.0,2,,,
